"HRHHID","HRHHID2","OCCURNUM","YYYYMM","PRDTIND1","PTERNHLY","GESTCEN","GTCBSA","PRTAGE","PRFTLF","PWCMPWGT","PRMLR"
"240",0,0,0,201204,46,-0.01,22,35620,35,1,3864.2369,1
"241",0,0,0,201204,46,-0.01,22,35620,34,1,3119.808,1
"242",0,0,0,201204,46,-0.01,22,35620,26,1,3168.7715,1
"243",0,0,0,201204,46,-0.01,22,35620,28,1,3168.7715,1
"244",0,0,0,201204,46,8,22,35620,22,2,3969.1128,1
"245",0,0,0,201204,46,-0.01,22,35620,48,1,2951.8131,2
"246",0,0,0,201204,46,-0.01,21,10580,26,1,2901.6774,2
"247",0,0,0,201204,46,-0.01,21,35620,28,1,3307.2717,1
"248",0,0,0,201204,46,-0.01,21,15380,22,2,4431.4626,1
"249",0,0,0,201204,46,-0.01,21,35620,20,2,4890.2609,1
"250",0,0,0,201204,46,-0.01,21,35620,29,1,3714.2302,1
"251",0,0,0,201204,46,-0.01,21,35620,51,1,2564.1004,1
"252",0,0,0,201204,46,-0.01,21,35620,41,1,2864.8587,1
"253",0,0,0,201204,46,12,21,35620,27,2,4049.553,1
"254",0,0,0,201204,46,-0.01,21,35620,46,2,3591.2711,1
"255",0,0,0,201204,46,-0.01,21,45060,63,1,3074.1575,1
"256",0,0,0,201204,46,-0.01,21,39100,63,1,3203.4275,1
"257",0,0,0,201204,46,-0.01,21,35620,28,1,5360.2882,1
"258",0,0,0,201204,46,-0.01,21,35620,26,1,5360.2882,1
"259",0,0,0,201204,46,-0.01,21,35620,34,1,3280.7579,1
"260",0,0,0,201204,46,-0.01,21,35620,56,1,3556.6374,1
"261",0,0,0,201204,46,-0.01,21,28740,26,1,5885.2998,1
"262",0,0,0,201204,46,-0.01,21,35620,58,1,3128.6154,1
"263",0,0,0,201204,46,-0.01,21,35620,52,1,3300.4911,1
"264",0,0,0,201204,46,-0.01,21,35620,35,1,4004.79,1
"265",0,0,0,201204,46,10,21,35620,24,1,4281.7176,1
"266",0,0,0,201204,46,11.5,23,38300,50,1,2967.5363,1
"267",0,0,0,201204,46,12.48,23,38300,47,2,2559.7272,1
"268",0,0,0,201204,46,-0.01,23,37980,39,1,3279.4144,1
"269",0,0,0,201204,46,-0.01,23,37980,30,1,3406.3398,1
"270",0,0,0,201204,46,-0.01,23,38300,21,2,4021.8685,1
"271",0,0,0,201204,46,-0.01,23,27780,18,2,3925.5852,1
"272",0,0,0,201204,46,7.75,23,10900,43,2,2654.5555,1
"273",0,0,0,201204,46,-0.01,23,25420,70,1,2925.9601,1
"274",0,0,0,201204,46,12,23,25420,25,1,3536.315,1
"275",0,0,0,201204,46,-0.01,23,37980,20,2,4041.0064,1
"276",0,0,0,201204,46,-0.01,23,38300,39,1,3101.5708,1
"277",0,0,0,201204,46,-0.01,23,0,57,1,2978.0193,1
"278",0,0,0,201204,46,-0.01,23,0,55,1,2596.7924,2
"279",0,0,0,201204,46,-0.01,23,37980,47,2,3123.1204,1
"280",0,0,0,201204,46,7.25,23,0,36,2,2770.4756,1
"281",0,0,0,201204,46,-0.01,23,38300,17,2,3231.5707,1
"282",0,0,0,201204,46,-0.01,23,38300,40,1,3082.401,1
"283",0,0,0,201204,46,-0.01,23,38300,21,2,4159.5101,1
"284",0,0,0,201204,46,-0.01,23,38300,18,2,3374.2083,1
"285",0,0,0,201204,46,-0.01,23,49620,53,1,3259.8339,1
"286",0,0,0,201204,46,-0.01,23,49620,51,1,3454.9972,1
"287",0,0,0,201204,46,-0.01,23,49620,22,2,4094.2108,1
"288",0,0,0,201204,46,-0.01,58,12060,17,2,3584.0448,1
"289",0,0,0,201204,46,-0.01,22,45940,25,2,2888.8637,1
"290",0,0,0,201204,46,-0.01,22,35620,22,2,3219.975,1
"291",0,0,0,201204,46,-0.01,22,35620,20,2,3219.975,1
"292",0,0,0,201204,46,10,21,0,27,2,3336.4873,1
"293",0,0,0,201204,46,-0.01,21,35620,42,2,3952.2933,1
"294",0,0,0,201204,46,-0.01,21,35620,62,-1,3830.4048,3
"295",0,0,0,201204,46,7.25,23,37980,16,2,3418.3396,1
"296",0,0,0,201204,46,-0.01,58,12060,26,2,4543.9594,1
"297",0,0,0,201204,46,-0.01,58,0,22,1,3857.5158,1
"298",0,0,0,201204,46,-0.01,58,12060,27,1,3074.7783,1
"299",0,0,0,201204,46,-0.01,58,12060,34,1,3152.0928,1
"300",0,0,0,201204,46,-0.01,58,12060,20,2,3412.1974,1
"301",0,0,0,201204,46,10,58,12060,46,2,3780.9098,1
"302",0,0,0,201204,46,-0.01,58,12060,27,1,4008.653,1
"303",0,0,0,201204,46,-0.01,58,12060,30,1,3853.5288,1
"304",0,0,0,201204,46,-0.01,58,12060,27,1,3985.265,1
"305",0,0,0,201204,46,15.7,58,17980,30,1,5476.3528,1
"306",0,0,0,201204,46,-0.01,58,12260,21,1,4130.1949,2
"307",0,0,0,201204,46,-0.01,58,12260,54,1,3814.8957,1
"308",0,0,0,201204,46,-0.01,58,12260,29,2,3891.7678,1
"309",0,0,0,201204,46,-0.01,58,12060,37,1,2678.8571,1
"310",0,0,0,201204,46,-0.01,58,0,17,2,3233.2562,1
"311",0,0,0,201204,46,10.2,22,37980,20,2,5104.7495,1
"312",0,0,0,201204,46,-0.01,22,37980,54,1,3382.9405,1
"313",0,0,0,201204,46,-0.01,22,35620,23,1,4469.2735,1
"314",0,0,0,201204,46,-0.01,22,35620,21,1,4469.2735,1
"315",0,0,0,201204,46,-0.01,22,35620,32,1,3128.7171,2
"316",0,0,0,201204,46,-0.01,22,35620,36,1,3092.9006,1
"317",0,0,0,201204,46,-0.01,22,35620,46,1,3004.1342,1
"318",0,0,0,201204,46,-0.01,22,35620,20,1,3384.1115,2
"319",0,0,0,201204,46,-0.01,22,35620,50,1,2585.6635,1
"320",0,0,0,201204,46,-0.01,21,35620,25,1,3307.2717,1
"321",0,0,0,201204,46,-0.01,21,15380,21,2,3591.7115,1
"322",0,0,0,201204,46,-0.01,21,15380,24,1,3495.3447,1
"323",0,0,0,201204,46,9,21,40380,48,2,3009.1619,1
"324",0,0,0,201204,46,-0.01,21,40380,25,1,5773.1919,1
"325",0,0,0,201204,46,-0.01,21,40380,19,1,3970.2094,2
"326",0,0,0,201204,46,8.25,21,40380,18,1,3142.3363,1
"327",0,0,0,201204,46,-0.01,21,45060,31,1,2898.4918,1
"328",0,0,0,201204,46,-0.01,21,45060,31,1,3020.1402,1
"329",0,0,0,201204,46,-0.01,21,35620,30,1,3067.3223,1
"330",0,0,0,201204,46,-0.01,23,38300,27,2,3367.7883,1
"331",0,0,0,201204,46,9,23,37980,21,2,3313.2055,1
"332",0,0,0,201204,46,-0.01,23,37980,31,1,3374.4716,2
"333",0,0,0,201204,46,-0.01,23,37980,38,2,3311.6878,1
"334",0,0,0,201204,46,6,23,0,45,1,2961.9658,1
"335",0,0,0,201204,46,7.65,23,0,21,1,3267.5154,1
"336",0,0,0,201204,46,-0.01,23,37980,16,2,3390.2643,1
"337",0,0,0,201204,46,7.25,23,0,20,1,3267.5154,1
"338",0,0,0,201204,46,-0.01,23,0,19,2,3270.8675,1
"339",0,0,0,201204,46,-0.01,23,0,18,2,3270.8675,1
"340",0,0,0,201204,46,-0.01,23,37980,27,1,3475.7349,1
"341",0,0,0,201204,46,-0.01,23,0,39,1,2770.4756,1
"342",0,0,0,201204,46,8,58,0,21,2,3886.8993,1
"343",0,0,0,201204,46,8,58,0,22,2,3886.8993,1
"344",0,0,0,201204,46,-0.01,58,12060,33,2,3755.8691,1
"345",0,0,0,201204,46,-0.01,58,12060,39,1,3343.8462,2
"346",0,0,0,201204,46,-0.01,58,12060,38,1,3439.4322,1
"347",0,0,0,201204,46,-0.01,58,12060,25,1,3129.8158,1
"348",0,0,0,201204,46,-0.01,22,12100,24,1,6483.5093,1
"349",0,0,0,201204,46,10,22,35620,16,2,3925.6201,1
"350",0,0,0,201204,46,-0.01,22,35620,38,2,3184.2953,1
"351",0,0,0,201204,46,-0.01,22,35620,18,2,3625.4894,1
"352",0,0,0,201204,46,-0.01,21,0,41,2,2748.4034,1
"353",0,0,0,201204,46,-0.01,21,0,39,2,3112.2822,1
"354",0,0,0,201204,46,-0.01,21,0,28,1,3326.9385,1
"355",0,0,0,201204,46,-0.01,21,35620,38,1,3595.4901,1
"356",0,0,0,201204,46,-0.01,21,35620,55,1,2594.1392,1
"357",0,0,0,201204,46,-0.01,21,0,54,1,2832.1134,1
"358",0,0,0,201204,46,-0.01,21,35620,28,1,2997.3593,1
"359",0,0,0,201204,46,15,21,35620,48,1,2490.8099,1
"360",0,0,0,201204,46,-0.01,21,35620,42,1,2706.7602,1
"361",0,0,0,201204,46,-0.01,21,35620,51,1,2318.4789,1
"362",0,0,0,201204,46,-0.01,23,0,16,2,3343.5115,1
"363",0,0,0,201204,46,-0.01,23,25420,33,1,3218.0631,1
"364",0,0,0,201204,46,-0.01,23,25420,22,1,4094.2108,1
"365",0,0,0,201204,46,-0.01,23,25420,33,1,2992.6899,1
"366",0,0,0,201204,46,-0.01,23,21500,42,2,3148.6957,1
"367",0,0,0,201204,46,-0.01,23,37980,28,1,3795.0998,1
"368",0,0,0,201204,46,-0.01,23,37980,30,1,3695.174,2
"369",0,0,0,201204,46,-0.01,23,49620,19,2,3410.0764,1
"370",0,0,0,201204,46,-0.01,23,49620,19,2,3392.5842,1
"371",0,0,0,201204,46,-0.01,58,12060,30,1,3105.6706,1
"372",0,0,0,201204,46,10,58,12060,40,2,3276.7254,1
"373",0,0,0,201204,46,-0.01,58,12060,24,2,4275.3976,1
"374",0,0,0,201204,46,-0.01,58,12060,38,1,5270.3675,1
"375",0,0,0,201204,46,-0.01,22,35620,18,2,3693.6058,1
"376",0,0,0,201204,46,-0.01,22,35620,20,1,3962.7884,1
"377",0,0,0,201204,46,-0.01,22,35620,20,2,3939.832,1
"378",0,0,0,201204,46,-0.01,22,35620,35,2,2800.0939,1
"379",0,0,0,201204,46,-0.01,21,0,26,1,4306.359,1
"380",0,0,0,201204,46,-0.01,21,35620,28,1,2915.6423,1
"381",0,0,0,201204,46,-0.01,21,35620,26,1,2984.2037,1
"382",0,0,0,201204,46,-0.01,21,35620,56,1,2594.1392,1
"383",0,0,0,201204,46,-0.01,21,40380,21,1,4765.028,2
"384",0,0,0,201204,46,9,21,40380,18,2,3142.3363,1
